Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 8;;Curve No. 9;;Curve No. 10;;Curve No. 11;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6
0.003;770.4116;0.003;766.2621;0.003;775.6191;0.003;759.811;0.003;765.4998;0.003;770.6422;0.003;767.7189;0.003;774.1128;0.003;776.3144;0.003;780.189
0.006;800.5322;0.006;793.1733;0.006;812.3862;0.006;785.4276;0.006;792.1105;0.006;800.2703;0.006;799.486;0.006;810.7845;0.006;815.9908;0.006;819.9451
0.009;830.8239;0.009;820.0845;0.009;849.1533;0.009;810.6689;0.009;818.7213;0.009;831.4062;0.009;831.2531;0.009;847.4561;0.009;855.5171;0.009;857.9336
0.012;864.1673;0.012;848.2717;0.012;886.3046;0.012;835.0244;0.012;845.332;0.012;863.6804;0.012;862.4271;0.012;884.1278;0.012;894.3035;0.012;890.9065
0.015;897.5106;0.015;877.6831;0.015;925.3041;0.015;859.4711;0.015;874.5152;0.015;896.953;0.015;892.2408;0.015;920.8201;0.015;933.0898;0.015;923.972
0.018;932.7157;0.018;905.6439;0.018;964.3037;0.018;884.6798;0.018;903.8451;0.018;931.8553;0.018;922.2166;0.018;957.699;0.018;973.9202;0.018;958.3622
0.021;968.2181;0.021;930.5633;0.021;1004.93;0.021;909.8885;0.021;934.6831;0.021;967.1343;0.021;953.5248;0.021;994.5779;0.021;1014.798;0.021;992.7523
0.024;999.1149;0.024;955.614;0.024;1045.59;0.024;936.3156;0.024;966.0139;0.024;1004.023;0.024;984.8329;0.024;1032.774;0.024;1057.317;0.024;1028.855
0.027;1027.757;0.027;981.5134;0.027;1088.468;0.027;962.8516;0.027;994.6314;0.027;1040.913;0.027;1017.625;0.027;1071.104;0.027;1100.278;0.027;1065.213
0.03;1057.096;0.03;1007.413;0.03;1131.933;0.03;990.0247;0.03;1021.113;0.03;1079.926;0.03;1050.56;0.03;1111.004;0.03;1144.718;0.03;1102.634
0.033;1087.187;0.033;1034.436;0.033;1176.596;0.033;1017.435;0.033;1048.035;0.033;1118.94;0.033;1084.79;0.033;1151.515;0.033;1190.135;0.033;1140.568
0.036;1117.709;0.036;1061.524;0.036;1222.058;0.036;1045.455;0.036;1075.718;0.036;1159.882;0.036;1119.532;0.036;1193.292;0.036;1236.235;0.036;1179.271
0.039;1149.291;0.039;1089.598;0.039;1268.362;0.039;1073.996;0.039;1103.582;0.039;1201.274;0.039;1155.183;0.039;1236.201;0.039;1283.296;0.039;1218.807
0.042;1181.008;0.042;1117.99;0.042;1315.893;0.042;1103.126;0.042;1132.313;0.042;1244.062;0.042;1191.672;0.042;1280.008;0.042;1330.82;0.042;1258.858
0.045;1213.976;0.045;1147.153;0.045;1363.884;0.045;1133.345;0.045;1161.044;0.045;1287.702;0.045;1228.653;0.045;1325.575;0.045;1379.922;0.045;1300.203
0.048;1246.945;0.048;1176.903;0.048;1413.57;0.048;1163.784;0.048;1190.922;0.048;1332.256;0.048;1266.657;0.048;1371.377;0.048;1429.066;0.048;1341.707
0.051;1281.121;0.051;1207.113;0.051;1463.3;0.051;1195.363;0.051;1220.824;0.051;1378.024;0.051;1304.9;0.051;1418.555;0.051;1479.391;0.051;1384.846
0.05399999;1315.422;0.05399999;1238.073;0.05399999;1515.232;0.05399999;1226.942;0.05399999;1251.526;0.05399999;1424.32;0.05399999;1344.737;0.05399999;1465.734;0.05399999;1529.717;0.05399999;1427.986
0.05699999;1350.74;0.05699999;1269.272;0.05699999;1567.164;0.05699999;1259.863;0.05699999;1282.447;0.05699999;1472.306;0.05699999;1384.575;0.05699999;1515.182;0.05699999;1581.977;0.05699999;1472.465
0.05999999;1386.462;0.05999999;1301.49;0.05999999;1620.493;0.05999999;1292.821;0.05999999;1314.153;0.05999999;1520.393;0.05999999;1425.916;0.05999999;1564.751;0.05999999;1634.596;0.05999999;1517.105
0.06299999;1423.017;0.06299999;1333.708;0.06299999;1674.12;0.06299999;1327.12;0.06299999;1346.403;0.06299999;1570.489;0.06299999;1467.36;0.06299999;1616.051;0.06299999;1688.297;0.06299999;1562.856
0.06599999;1460.328;0.06599999;1366.995;0.06599999;1729.007;0.06599999;1361.791;0.06599999;1379.066;0.06599999;1620.586;0.06599999;1509.99;0.06599999;1667.915;0.06599999;1742.571;0.06599999;1609.089
0.06899999;1498.129;0.06899999;1400.281;0.06899999;1784.637;0.06899999;1397.326;0.06899999;1412.354;0.06899999;1664.85;0.06899999;1553.037;0.06899999;1721.008;0.06899999;1797.674;0.06899999;1655.942
0.07199999;1536.906;0.07199999;1434.544;0.07199999;1841.109;0.07199999;1433.456;0.07199999;1445.908;0.07199999;1708.147;0.07199999;1597.032;0.07199999;1775.066;0.07199999;1853.73;0.07199999;1703.41
0.07499999;1575.922;0.07499999;1469.033;0.07499999;1898.681;0.07499999;1470.207;0.07499999;1480.506;0.07499999;1752.425;0.07499999;1641.82;0.07499999;1829.682;0.07499999;1910.362;0.07499999;1751.457
0.07799999;1616.349;0.07799999;1504.328;0.07799999;1956.743;0.07799999;1507.876;0.07799999;1515.117;0.07799999;1797.194;0.07799999;1687.103;0.07799999;1885.261;0.07799999;1968.511;0.07799999;1800.806
0.08099999;1656.776;0.08099999;1540.116;0.08099999;2016.377;0.08099999;1545.912;0.08099999;1550.953;0.08099999;1842.761;0.08099999;1733.312;0.08099999;1941.19;0.08099999;2026.826;0.08099999;1850.302
0.08399998;1698.932;0.08399998;1576.485;0.08399998;2076.093;0.08399998;1585.301;0.08399998;1586.789;0.08399998;1889.206;0.08399998;1779.769;0.08399998;1998.758;0.08399998;2086.919;0.08399998;1900.936
0.08699998;1741.168;0.08699998;1613.624;0.08699998;2137.627;0.08699998;1624.73;0.08699998;1623.781;0.08699998;1936.108;0.08699998;1827.605;0.08699998;2056.325;0.08699998;2147.012;0.08699998;1951.569
0.08999998;1784.545;0.08999998;1651.08;0.08999998;2199.161;0.08999998;1665.827;0.08999998;1661.027;0.08999998;1984.159;0.08999998;1875.441;0.08999998;2115.498;0.08999998;2208.56;0.08999998;2003.651
0.09299998;1828.271;0.09299998;1689.544;0.09299998;2262.184;0.09299998;1706.924;0.09299998;1699.058;0.09299998;2032.364;0.09299998;1924.679;0.09299998;2174.696;0.09299998;2270.277;0.09299998;2055.857
0.09599998;1873.021;0.09599998;1728.068;0.09599998;2325.47;0.09599998;1749.371;0.09599998;1737.554;0.09599998;2082.051;0.09599998;1973.981;0.09599998;2235.756;0.09599998;2333.093;0.09599998;2109.117
0.09899998;1918.521;0.09899998;1767.765;0.09899998;2384.469;0.09899998;1792.088;0.09899998;1776.53;0.09899998;2131.738;0.09899998;2024.419;0.09899998;2297.3;0.09899998;2396.366;0.09899998;2162.773
0.102;1964.709;0.102;1807.462;0.102;2441.2;0.102;1835.999;0.102;1816.127;0.102;2182.853;0.102;2075.216;0.102;2360.008;0.102;2456.66;0.102;2217.324
0.105;2011.983;0.105;1848.125;0.105;2498.614;0.105;1880.571;0.105;1856.088;0.105;2234.122;0.105;2126.9;0.105;2423.483;0.105;2514.139;0.105;2272.667
0.108;2059.584;0.108;1888.947;0.108;2556.828;0.108;1926.01;0.108;1897.186;0.108;2286.577;0.108;2179.272;0.108;2484.279;0.108;2572.046;0.108;2328.518
0.111;2108.514;0.111;1930.715;0.111;2615.421;0.111;1972.486;0.111;1938.361;0.111;2339.514;0.111;2232.142;0.111;2541.257;0.111;2630.848;0.111;2385.383
0.114;2157.459;0.114;1972.954;0.114;2675.054;0.114;2019.466;0.114;1980.997;0.114;2393.273;0.114;2285.871;0.114;2598.612;0.114;2689.83;0.114;2442.454
0.117;2208.129;0.117;2015.806;0.117;2734.784;0.117;2067.837;0.117;2023.633;0.117;2447.791;0.117;2339.884;0.117;2657.306;0.117;2749.989;0.117;2500.817
0.12;2258.8;0.12;2059.331;0.12;2795.755;0.12;2116.335;0.12;2067.433;0.12;2502.856;0.12;2395.283;0.12;2716.027;0.12;2810.147;0.12;2559.18
0.123;2311.359;0.123;2103.225;0.123;2856.726;0.123;2166.375;0.123;2111.425;0.123;2559.036;0.123;2450.682;0.123;2775.694;0.123;2871.708;0.123;2618.969
0.126;2364.337;0.126;2148.048;0.126;2918.866;0.126;2216.416;0.126;2156.29;0.126;2615.434;0.126;2507.394;0.126;2835.362;0.126;2933.358;0.126;2678.845
0.129;2418.395;0.129;2193.017;0.129;2981.168;0.129;2268.173;0.129;2201.594;0.129;2673.19;0.129;2564.142;0.129;2896.436;0.129;2996.171;0.129;2739.679
0.132;2473.091;0.132;2239.403;0.132;3044.419;0.132;2320.148;0.132;2247.664;0.132;2730.945;0.132;2622.023;0.132;2957.784;0.132;3059.372;0.132;2800.841
0.135;2528.531;0.135;2285.788;0.135;3108.111;0.135;2373.538;0.135;2294.583;0.135;2790.513;0.135;2680.231;0.135;3020.122;0.135;3123.452;0.135;2862.816
0.138;2584.922;0.138;2333.294;0.138;3172.521;0.138;2427.54;0.138;2341.885;0.138;2850.181;0.138;2739.296;0.138;3083.001;0.138;3188.227;0.138;2925.463
0.141;2641.777;0.141;2380.919;0.141;3237.685;0.141;2482.503;0.141;2390.158;0.141;2910.968;0.141;2798.98;0.141;3146.682;0.141;3253.503;0.141;2988.656
0.144;2700.029;0.144;2429.644;0.144;3303.201;0.144;2538.389;0.144;2438.562;0.144;2972.114;0.144;2859.208;0.144;3211.327;0.144;3319.644;0.144;3052.866
0.147;2758.38;0.147;2478.813;0.147;3369.569;0.147;2594.927;0.147;2488.271;0.147;3034.262;0.147;2920.305;0.147;3276.344;0.147;3386.047;0.147;3117.305
0.15;2818.308;0.15;2528.68;0.15;3436.075;0.15;2652.842;0.15;2537.981;0.15;3097.178;0.15;2981.688;0.15;3342.405;0.15;3453.677;0.15;3183.02
0.153;2878.237;0.153;2579.191;0.153;3503.851;0.153;2711.007;0.153;2588.893;0.153;3160.623;0.153;3044.299;0.153;3408.57;0.153;3521.307;0.153;3248.735
0.156;2939.605;0.156;2630.263;0.156;3571.627;0.156;2770.8;0.156;2639.941;0.156;3224.949;0.156;3106.911;0.156;3476.087;0.156;3590.18;0.156;3315.701
0.159;3001.19;0.159;2682.483;0.159;3640.793;0.159;2830.594;0.159;2692.106;0.159;3289.625;0.159;3170.854;0.159;3543.604;0.159;3659.071;0.159;3382.727
0.162;3063.947;0.162;2734.913;0.162;3710.104;0.162;2892.358;0.162;2744.735;0.162;3355.858;0.162;3234.805;0.162;3612.595;0.162;3729.009;0.162;3450.883
0.1650001;3127.26;0.1650001;2788.674;0.1650001;3780.37;0.1650001;2954.239;0.1650001;2798.06;0.1650001;3422.091;0.1650001;3300.185;0.1650001;3681.789;0.1650001;3799.218;0.1650001;3519.399
0.1680001;3191.504;0.1680001;2842.435;0.1680001;3851.022;0.1680001;3017.571;0.1680001;2852.048;0.1680001;3489.993;0.1680001;3365.928;0.1680001;3752.137;0.1680001;3870.356;0.1680001;3588.663
0.1710001;3256.729;0.1710001;2897.567;0.1710001;3922.341;0.1710001;3081.374;0.1710001;2906.489;0.1710001;3557.906;0.1710001;3432.463;0.1710001;3823.011;0.1710001;3942.106;0.1710001;3658.512
0.1740001;3322.414;0.1740001;2952.781;0.1740001;3994.28;0.1740001;3146.239;0.1740001;2961.902;0.1740001;3627.103;0.1740001;3499.525;0.1740001;3894.44;0.1740001;4014.401;0.1740001;3728.891
0.1770001;3389.187;0.1770001;3009.26;0.1770001;4066.669;0.1770001;3211.919;0.1770001;3017.487;0.1770001;3696.619;0.1770001;3567.052;0.1770001;3966.437;0.1770001;4087.484;0.1770001;3800.198
