Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6;0;738.6
0.003;769.1759;0.003;776.2366;0.003;769.72;0.003;770.3461;0.003;770.7287;0.003;773.572;0.003;762.301;0.003;774.767;0.003;779.0217;0.003;760.3237
0.006;799.0178;0.006;813.8179;0.006;800.2418;0.006;800.8195;0.006;802.8675;0.006;804.5017;0.006;785.2606;0.006;810.7324;0.006;822.0844;0.006;781.7892
0.009;828.8596;0.009;851.3992;0.009;830.7635;0.009;833.1777;0.009;835.7319;0.009;835.4314;0.009;810.1243;0.009;846.6979;0.009;863.6436;0.009;803.2546
0.012;860.7302;0.012;888.9804;0.012;865.4921;0.012;867.5264;0.012;869.9028;0.012;874.1221;0.012;836.1006;0.012;882.6634;0.012;903.9988;0.012;825.7062
0.015;894.0428;0.015;928.8658;0.015;900.7018;0.015;902.738;0.015;904.5012;0.015;913.0034;0.015;862.3021;0.015;920.9955;0.015;945.5875;0.015;849.3082
0.018;927.9532;0.018;969.67;0.018;936.0649;0.018;939.9683;0.018;941.3104;0.018;950.7873;0.018;888.7885;0.018;959.9565;0.018;989.3058;0.018;873.486
0.021;962.7744;0.021;1006.938;0.021;971.4907;0.021;977.381;0.021;978.1195;0.021;988.2675;0.021;915.8757;0.021;1001.744;0.021;1033.169;0.021;899.2198
0.024;998.4865;0.024;1040.973;0.024;1008.122;0.024;1016.235;0.024;1018.235;0.024;1028.586;0.024;944.7582;0.024;1045.417;0.024;1077.703;0.024;925.0594
0.027;1037.606;0.027;1075.182;0.027;1045.856;0.027;1055.089;0.027;1058.46;0.027;1070.862;0.027;973.741;0.027;1090.213;0.027;1122.237;0.027;952.1363
0.03;1076.615;0.03;1109.741;0.03;1084.137;0.03;1095.756;0.03;1092.581;0.03;1114.28;0.03;1004.276;0.03;1136.628;0.03;1169.8;0.03;979.2131
0.033;1109.447;0.033;1144.534;0.033;1123.502;0.033;1136.571;0.033;1124.901;0.033;1159.403;0.033;1034.811;0.033;1183.863;0.033;1217.409;0.033;1007.292
0.036;1142.278;0.036;1180.809;0.036;1163.298;0.036;1173.956;0.036;1158.271;0.036;1205.21;0.036;1066.33;0.036;1234.021;0.036;1267.219;0.036;1035.5
0.039;1175.299;0.039;1217.084;0.039;1205.583;0.039;1210.107;0.039;1192.413;0.039;1253.568;0.039;1097.995;0.039;1284.203;0.039;1317.612;0.039;1064.691
0.042;1208.358;0.042;1255.091;0.042;1247.869;0.042;1247.12;0.042;1227.611;0.042;1301.934;0.042;1130.382;0.042;1335.194;0.042;1368.696;0.042;1094.317
0.045;1243.151;0.045;1293.201;0.045;1292.775;0.045;1284.843;0.045;1264.52;0.045;1350.658;0.045;1163.107;0.045;1386.186;0.045;1420.25;0.045;1124.674
0.048;1278.925;0.048;1333.016;0.048;1337.794;0.048;1322.489;0.048;1301.496;0.048;1399.381;0.048;1196.832;0.048;1439.331;0.048;1472.644;0.048;1155.757
0.051;1315.134;0.051;1373.395;0.051;1377.843;0.051;1359.997;0.051;1338.762;0.051;1451.838;0.051;1231.594;0.051;1492.887;0.051;1526.302;0.051;1187.255
0.05399999;1351.875;0.05399999;1415.328;0.05399999;1416.391;0.05399999;1397.901;0.05399999;1376.027;0.05399999;1505.047;0.05399999;1267.251;0.05399999;1548.415;0.05399999;1580.869;0.05399999;1219.676
0.05699999;1388.881;0.05699999;1458.493;0.05699999;1455.01;0.05699999;1437.731;0.05699999;1416.941;0.05699999;1559.574;0.05699999;1304.988;0.05699999;1605;0.05699999;1638.998;0.05699999;1252.26
0.05999999;1426.64;0.05999999;1501.696;0.05999999;1493.682;0.05999999;1477.562;0.05999999;1457.885;0.05999999;1614.838;0.05999999;1342.814;0.05999999;1657.736;0.05999999;1697.135;0.05999999;1286.074
0.06299999;1464.479;0.06299999;1544.968;0.06299999;1533.635;0.06299999;1520.517;0.06299999;1498.882;0.06299999;1666.488;0.06299999;1381.355;0.06299999;1705.972;0.06299999;1756.686;0.06299999;1319.889
0.06599999;1503.356;0.06599999;1588.86;0.06599999;1575.62;0.06599999;1563.529;0.06599999;1539.894;0.06599999;1713.779;0.06599999;1419.897;0.06599999;1754.565;0.06599999;1816.236;0.06599999;1354.846
0.06899999;1542.234;0.06899999;1635.778;0.06899999;1617.527;0.06899999;1605.775;0.06899999;1582.221;0.06899999;1761.538;0.06899999;1460.917;0.06899999;1804.118;0.06899999;1877.842;0.06899999;1389.898
0.07199999;1583.813;0.07199999;1682.696;0.07199999;1659.118;0.07199999;1647.82;0.07199999;1625.415;0.07199999;1810.605;0.07199999;1502.151;0.07199999;1853.81;0.07199999;1939.932;0.07199999;1426.742
0.07499999;1625.756;0.07499999;1732.399;0.07499999;1700.725;0.07499999;1691.319;0.07499999;1669.418;0.07499999;1859.694;0.07499999;1543.687;0.07499999;1905.082;0.07499999;2003.508;0.07499999;1464.245
0.07799999;1667.677;0.07799999;1782.171;0.07799999;1744.216;0.07799999;1735.775;0.07799999;1714.594;0.07799999;1909.066;0.07799999;1585.334;0.07799999;1956.353;0.07799999;2068.02;0.07799999;1502.535
0.08099999;1709.588;0.08099999;1832.777;0.08099999;1787.708;0.08099999;1780.783;0.08099999;1759.786;0.08099999;1958.437;0.08099999;1628.918;0.08099999;2009.588;0.08099999;2133.543;0.08099999;1541.497
0.08399998;1753.137;0.08399998;1883.615;0.08399998;1833.792;0.08399998;1826.569;0.08399998;1805.042;0.08399998;2009.527;0.08399998;1674.146;0.08399998;2063.067;0.08399998;2200.474;0.08399998;1580.879
0.08699998;1798.311;0.08699998;1935.467;0.08699998;1880.452;0.08699998;1872.9;0.08699998;1850.306;0.08699998;2060.848;0.08699998;1719.76;0.08699998;2117.873;0.08699998;2267.875;0.08699998;1621.051
0.08999998;1843.67;0.08999998;1988.025;0.08999998;1927.1;0.08999998;1921.104;0.08999998;1895.989;0.08999998;2114.64;0.08999998;1766.087;0.08999998;2173.251;0.08999998;2336.914;0.08999998;1661.283
0.09299998;1889.432;0.09299998;2041.263;0.09299998;1973.742;0.09299998;1969.366;0.09299998;1941.672;0.09299998;2169.539;0.09299998;1812.702;0.09299998;2229.608;0.09299998;2405.73;0.09299998;1701.846
0.09599998;1935.227;0.09599998;2095.538;0.09599998;2021.413;0.09599998;2019.213;0.09599998;1989.197;0.09599998;2224.297;0.09599998;1860.82;0.09599998;2286.916;0.09599998;2467.026;0.09599998;1742.409
0.09899998;1981.254;0.09899998;2149.875;0.09899998;2070.397;0.09899998;2069.06;0.09899998;2037.108;0.09899998;2278.914;0.09899998;1908.937;0.09899998;2344.662;0.09899998;2528.323;0.09899998;1785.555
0.102;2027.281;0.102;2204.462;0.102;2119.901;0.102;2121.755;0.102;2086.248;0.102;2334.479;0.102;1958.552;0.102;2403.355;0.102;2591.139;0.102;1828.804
0.105;2076.14;0.105;2259.091;0.105;2170.969;0.105;2174.973;0.105;2136.098;0.105;2392.166;0.105;2008.211;0.105;2462.387;0.105;2654.257;0.105;1873.241
0.108;2125.212;0.108;2318.46;0.108;2222.091;0.108;2229.393;0.108;2186.135;0.108;2450.074;0.108;2059.536;0.108;2523.756;0.108;2718.335;0.108;1918.034
0.111;2174.726;0.111;2377.828;0.111;2274.043;0.111;2284.447;0.111;2236.408;0.111;2509.624;0.111;2111.326;0.111;2585.126;0.111;2782.954;0.111;1963.859
0.114;2224.396;0.114;2438.739;0.114;2325.995;0.114;2339.577;0.114;2287.45;0.114;2569.175;0.114;2164.48;0.114;2647.842;0.114;2848.276;0.114;2010.44
0.117;2275.41;0.117;2499.997;0.117;2378.748;0.117;2394.794;0.117;2340.821;0.117;2631.788;0.117;2218.569;0.117;2710.65;0.117;2914.472;0.117;2057.543
0.12;2327.543;0.12;2561.791;0.12;2431.621;0.12;2450.562;0.12;2394.326;0.12;2694.637;0.12;2273.116;0.12;2774.813;0.12;2981.141;0.12;2105.482
0.123;2380.686;0.123;2623.909;0.123;2485.462;0.123;2507.784;0.123;2450.103;0.123;2757.551;0.123;2328.343;0.123;2839.438;0.123;3049.212;0.123;2153.853
0.126;2435.675;0.126;2687.612;0.126;2539.758;0.126;2565.176;0.126;2505.88;0.126;2820.489;0.126;2384.353;0.126;2905.059;0.126;3117.377;0.126;2204.059
0.129;2490.59;0.129;2753.424;0.129;2594.377;0.129;2624.379;0.129;2561.507;0.129;2885.312;0.129;2443.247;0.129;2971.477;0.129;3187.069;0.129;2254.264
0.132;2545.123;0.132;2819.533;0.132;2649.332;0.132;2683.583;0.132;2617.11;0.132;2951.684;0.132;2502.175;0.132;3038.445;0.132;3256.76;0.132;2305.482
0.135;2599.656;0.135;2886.606;0.135;2705.677;0.135;2744.068;0.135;2674.666;0.135;3018.002;0.135;2562.44;0.135;3106.367;0.135;3328.099;0.135;2356.705
0.138;2656.201;0.138;2953.755;0.138;2765.278;0.138;2804.704;0.138;2733.174;0.138;3084.224;0.138;2622.707;0.138;3174.549;0.138;3399.697;0.138;2409.746
0.141;2712.806;0.141;3022.638;0.141;2825.127;0.141;2866.87;0.141;2791.799;0.141;3150.897;0.141;2683.734;0.141;3243.951;0.141;3472.578;0.141;2463.234
0.144;2771.147;0.144;3091.522;0.144;2887.009;0.144;2929.678;0.144;2850.55;0.144;3219.805;0.144;2744.912;0.144;3313.353;0.144;3546.09;0.144;2517.466
0.147;2829.978;0.147;3161.417;0.147;2948.892;0.147;2993.561;0.147;2910.185;0.147;3288.714;0.147;2807.798;0.147;3385.301;0.147;3620.387;0.147;2572.174
0.15;2889.755;0.15;3231.493;0.15;3011.361;0.15;3058.464;0.15;2971.988;0.15;3359.701;0.15;2871.621;0.15;3457.289;0.15;3695.548;0.15;2627.421
0.153;2950.194;0.153;3302.505;0.153;3073.882;0.153;3123.422;0.153;3033.842;0.153;3430.738;0.153;2936.94;0.153;3530.24;0.153;3771.258;0.153;2683.421
0.156;3010.756;0.156;3374.009;0.156;3137.546;0.156;3188.494;0.156;3096.163;0.156;3503.9;0.156;3004.034;0.156;3603.441;0.156;3848.373;0.156;2739.797
0.159;3071.508;0.159;3446.363;0.159;3201.632;0.159;3254.068;0.159;3158.485;0.159;3577.641;0.159;3070.984;0.159;3678.153;0.159;3925.651;0.159;2797.481
0.162;3132.778;0.162;3519.703;0.162;3265.694;0.162;3322.964;0.162;3222.769;0.162;3651.597;0.162;3137.541;0.162;3753.864;0.162;4004.684;0.162;2855.208
0.1650001;3196.061;0.1650001;3593.578;0.1650001;3329.735;0.1650001;3391.86;0.1650001;3287.252;0.1650001;3725.698;0.1650001;3204.365;0.1650001;3830.349;0.1650001;4083.718;0.1650001;2914.287
0.1680001;3259.372;0.1680001;3668.896;0.1680001;3394.97;0.1680001;3461.465;0.1680001;3353.419;0.1680001;3800.596;0.1680001;3274.302;0.1680001;3907.944;0.1680001;4164.478;0.1680001;2973.365
0.1710001;3324.798;0.1710001;3744.307;0.1710001;3462.44;0.1710001;3531.115;0.1710001;3420.251;0.1710001;3876.669;0.1710001;3344.238;0.1710001;3985.933;0.1710001;4245.45;0.1710001;3034.117
0.1740001;3390.225;0.1740001;3820.814;0.1740001;3530.336;0.1740001;3602.17;0.1740001;3488.122;0.1740001;3953.032;0.1740001;3415.929;0.1740001;4065.321;0.1740001;4327.877;0.1740001;3095.191
0.1770001;3456.611;0.1770001;3897.323;0.1770001;3600.509;0.1770001;3673.7;0.1770001;3556.934;0.1770001;4030.469;0.1770001;3487.837;0.1770001;4144.752;0.1770001;4410.938;0.1770001;3157.311
