Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000;0.000000;480.000000
0.003000;541.877200;0.003000;534.263400;0.003000;530.928300;0.003000;551.791100;0.003000;534.924100;0.003000;547.101600;0.003000;561.867000;0.003000;526.122900;0.003000;557.525100;0.003000;548.085400
0.006000;603.065100;0.006000;587.084100;0.006000;576.960100;0.006000;610.955100;0.006000;585.176800;0.006000;611.565400;0.006000;643.728700;0.006000;570.999300;0.006000;631.901400;0.006000;606.932300
0.009000;664.253100;0.009000;639.904800;0.009000;622.992000;0.009000;678.031400;0.009000;635.429500;0.009000;676.029200;0.009000;725.590400;0.009000;615.875500;0.009000;706.277600;0.009000;665.779100
0.012000;725.441000;0.012000;692.725600;0.012000;678.066400;0.012000;757.806900;0.012000;694.188600;0.012000;740.706200;0.012000;807.452100;0.012000;660.751900;0.012000;782.503700;0.012000;732.829900
0.015000;798.639900;0.015000;757.921500;0.015000;740.656700;0.015000;839.915600;0.015000;759.831100;0.015000;823.775500;0.015000;903.746100;0.015000;717.490100;0.015000;879.067800;0.015000;802.451100
0.018000;876.644300;0.018000;823.429400;0.018000;807.332600;0.018000;931.688900;0.018000;829.427000;0.018000;906.844800;0.018000;1009.406000;0.018000;775.615200;0.018000;975.631900;0.018000;878.575900
0.021000;960.204100;0.021000;896.199600;0.021000;881.463900;0.021000;1023.551000;0.021000;906.035500;0.021000;998.611500;0.021000;1120.047000;0.021000;840.213200;0.021000;1083.585000;0.021000;959.586800
0.024000;1048.972000;0.024000;970.978800;0.024000;957.352800;0.024000;1125.935000;0.024000;984.220700;0.024000;1092.365000;0.024000;1237.937000;0.024000;907.574500;0.024000;1192.908000;0.024000;1043.532000
0.027000;1140.832000;0.027000;1051.118000;0.027000;1042.181000;0.027000;1228.319000;0.027000;1070.142000;0.027000;1192.213000;0.027000;1358.235000;0.027000;979.335400;0.027000;1310.273000;0.027000;1132.190000
0.030000;1239.338000;0.030000;1134.972000;0.030000;1127.010000;0.030000;1339.004000;0.030000;1156.063000;0.030000;1295.797000;0.030000;1487.447000;0.030000;1055.381000;0.030000;1431.058000;0.030000;1222.519000
0.033000;1339.010000;0.033000;1222.438000;0.033000;1221.740000;0.033000;1451.506000;0.033000;1250.681000;0.033000;1403.263000;0.033000;1616.832000;0.033000;1134.296000;0.033000;1555.964000;0.033000;1319.760000
0.036000;1447.296000;0.036000;1315.368000;0.036000;1316.717000;0.036000;1569.656000;0.036000;1345.485000;0.036000;1515.899000;0.036000;1755.931000;0.036000;1219.520000;0.036000;1684.805000;0.036000;1417.024000
0.039000;1555.581000;0.039000;1410.157000;0.039000;1419.371000;0.039000;1691.104000;0.039000;1446.706000;0.039000;1630.521000;0.039000;1895.031000;0.039000;1302.171000;0.039000;1816.566000;0.039000;1522.547000
0.042000;1673.114000;0.042000;1512.128000;0.042000;1524.117000;0.042000;1816.479000;0.042000;1549.666000;0.042000;1751.447000;0.042000;2041.665000;0.042000;1365.918000;0.042000;1954.523000;0.042000;1628.071000
0.045000;1791.404000;0.045000;1614.201000;0.045000;1634.127000;0.045000;1946.829000;0.045000;1657.005000;0.045000;1872.762000;0.045000;2189.926000;0.045000;1429.666000;0.045000;2093.294000;0.045000;1739.687000
0.048000;1916.569000;0.048000;1724.764000;0.048000;1747.721000;0.048000;2079.224000;0.048000;1767.354000;0.048000;2001.184000;0.048000;2343.292000;0.048000;1497.538000;0.048000;2237.540000;0.048000;1852.717000
0.051000;2044.264000;0.051000;1835.327000;0.051000;1864.642000;0.051000;2217.669000;0.051000;1880.495000;0.051000;2129.607000;0.051000;2499.709000;0.051000;1565.737000;0.051000;2381.785000;0.051000;1970.515000
0.054000;2176.751000;0.054000;1924.606000;0.054000;1986.470000;0.054000;2356.580000;0.054000;1997.842000;0.054000;2263.905000;0.054000;2659.922000;0.054000;1637.419000;0.054000;2533.263000;0.054000;2091.194000
0.057000;2313.351000;0.057000;2009.163000;0.057000;2109.833000;0.057000;2502.448000;0.057000;2116.535000;0.057000;2399.127000;0.057000;2825.105000;0.057000;1710.368000;0.057000;2685.211000;0.057000;2214.963000
0.060000;2452.606000;0.060000;2097.186000;0.060000;2238.891000;0.060000;2648.315000;0.060000;2240.453000;0.060000;2539.503000;0.060000;2992.499000;0.060000;1785.951000;0.060000;2814.096000;0.060000;2342.755000
0.063000;2596.902000;0.063000;2187.285000;0.063000;2367.320000;0.063000;2801.963000;0.063000;2364.439000;0.063000;2682.368000;0.063000;3166.849000;0.063000;1863.766000;0.063000;2935.212000;0.063000;2472.656000
0.066000;2742.340000;0.066000;2279.887000;0.066000;2467.676000;0.066000;2956.734000;0.066000;2495.085000;0.066000;2810.905000;0.066000;3341.528000;0.066000;1943.399000;0.066000;3059.463000;0.066000;2608.995000
0.069000;2894.108000;0.069000;2375.781000;0.069000;2568.031000;0.069000;3117.172000;0.069000;2625.731000;0.069000;2924.247000;0.069000;3522.693000;0.069000;2026.434000;0.069000;3186.197000;0.069000;2745.745000
0.072000;3045.877000;0.072000;2473.178000;0.072000;2673.154000;0.072000;3280.197000;0.072000;2763.220000;0.072000;3039.271000;0.072000;3703.858000;0.072000;2110.214000;0.072000;3315.425000;0.072000;2889.076000
0.075000;3207.428000;0.075000;2575.363000;0.075000;2779.253000;0.075000;3446.456000;0.075000;2902.267000;0.075000;3158.328000;0.075000;3883.760000;0.075000;2198.031000;0.075000;3448.959000;0.075000;3032.407000
0.078000;3369.389000;0.078000;2677.846000;0.078000;2889.165000;0.078000;3615.980000;0.078000;3025.135000;0.078000;3277.957000;0.078000;4063.450000;0.078000;2285.847000;0.078000;3583.073000;0.078000;3152.896000
0.081000;3537.981000;0.081000;2786.489000;0.081000;3001.227000;0.081000;3775.400000;0.081000;3138.116000;0.081000;3402.605000;0.081000;4220.270000;0.081000;2378.536000;0.081000;3719.910000;0.081000;3270.021000
0.084000;3708.589000;0.084000;2895.133000;0.084000;3115.978000;0.084000;3912.150000;0.084000;3253.475000;0.084000;3527.254000;0.084000;4365.421000;0.084000;2471.415000;0.084000;3856.747000;0.084000;3391.387000
