Curve No. 1;;Curve No. 2;;Curve No. 3;;Curve No. 4;;Curve No. 5;;Curve No. 6;;Curve No. 7;;Curve No. 8;;Curve No. 9;;Curve No. 10;
pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN);pos(%);f(cN)
0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480;0;480
0;537.78;0;531.06;0;530.89;0;530.57;0;534.43;0;544.33;0;554.09;0;543.17;0;552.19;0;531.85
0.01;591.02;0.01;581.11;0.01;577.93;0.01;575.13;0.01;580.68;0.01;603.02;0.01;618.82;0.01;601.62;0.01;621.36;0.01;576.33
0.01;650.29;0.01;631.16;0.01;624.96;0.01;622.63;0.01;631.93;0.01;661.7;0.01;683.84;0.01;660.08;0.01;690.53;0.01;627.8
0.01;713.3;0.01;681.22;0.01;678.24;0.01;679.07;0.01;692.27;0.01;729.82;0.01;769.91;0.01;726.28;0.01;762.45;0.01;682.55
0.02;779.99;0.02;742.4;0.02;738.76;0.02;735.99;0.02;754.23;0.02;803.93;0.02;855.99;0.02;797.48;0.02;850.31;0.02;730.24
0.02;851.64;0.02;805.56;0.02;801.56;0.02;800.49;0.02;824.1;0.02;882.16;0.02;950.63;0.02;871.68;0.02;938.18;0.02;770.57
0.02;924.72;0.02;874.31;0.02;870.61;0.02;864.99;0.02;893.96;0.02;965.98;0.02;1047.13;0.02;950.01;0.02;1034.58;0.02;811.93
0.02;1002.61;0.02;945.94;0.02;940.19;0.02;935.85;0.02;972.17;0.02;1051.64;0.02;1149.27;0.02;1029.96;0.02;1131.4;0.02;855.72
0.03;1080.79;0.03;1020.52;0.03;1016.59;0.03;1007.65;0.03;1050.53;0.03;1143.32;0.03;1254.75;0.03;1115.23;0.03;1235.61;0.03;899.9
0.03;1167.23;0.03;1098.44;0.03;1092.99;0.03;1084.26;0.03;1134.79;0.03;1235.38;0.03;1363.84;0.03;1200.78;0.03;1342.13;0.03;947.33
0.03;1253.67;0.03;1178.33;0.03;1176.15;0.03;1163.1;0.03;1220.6;0.03;1335.45;0.03;1477.64;0.03;1292.41;0.03;1453.74;0.03;994.76
0.04;1345.66;0.04;1263.32;0.04;1260.27;0.04;1246.07;0.04;1310.81;0.04;1435.53;0.04;1593.6;0.04;1384.05;0.04;1569.19;0.04;1045.58
0.04;1438.69;0.04;1348.99;0.04;1349.24;0.04;1333.24;0.04;1403.91;0.04;1542.07;0.04;1716.35;0.04;1481.32;0.04;1687.94;0.04;1096.69
0.04;1535.72;0.04;1441.77;0.04;1440.51;0.04;1422.87;0.04;1499.84;0.04;1649.72;0.04;1839.43;0.04;1579.55;0.04;1812.08;0.04;1150.68
0.05;1634.9;0.05;1534.54;0.05;1535.08;0.05;1517.99;0.05;1599.77;0.05;1762.06;0.05;1968.75;0.05;1681.85;0.05;1937.72;0.05;1205.74
0.05;1737;0.05;1634.84;0.05;1633.2;0.05;1614.06;0.05;1701.2;0.05;1876.79;0.05;2098.07;0.05;1786.19;0.05;2069.88;0.05;1262.84
0.05;1842.54;0.05;1736;0.05;1724.71;0.05;1716.97;0.05;1807.76;0.05;1994.45;0.05;2233.02;0.05;1893.38;0.05;2202.05;0.05;1321.71
5.40E-02;1949.67;5.40E-02;1842.52;5.40E-02;1800;5.40E-02;1819.87;5.40E-02;1914.59;5.40E-02;2115.4;5.40E-02;2368.92;5.40E-02;2003.73;5.40E-02;2341.82;5.40E-02;1382.02
5.70E-02;2061.12;5.70E-02;1951.28;5.70E-02;1875.74;5.70E-02;1901.37;5.70E-02;2027.89;5.70E-02;2237.94;5.70E-02;2508.09;5.70E-02;2107.36;5.70E-02;2481.64;5.70E-02;1445.05
6.00E-02;2172.91;6.00E-02;2063.73;6.00E-02;1955.65;6.00E-02;1981.41;6.00E-02;2141.19;6.00E-02;2364.57;6.00E-02;2648.93;6.00E-02;2194.33;6.00E-02;2626.7;6.00E-02;1508.63
6.30E-02;2288.89;6.30E-02;2179.67;6.30E-02;2035.57;6.30E-02;2064.91;6.30E-02;2259.91;6.30E-02;2488.91;6.30E-02;2792.89;6.30E-02;2281.76;6.30E-02;2773.07;6.30E-02;1575.26
6.60E-02;2404.87;6.60E-02;2287.85;6.60E-02;2119.5;6.60E-02;2149.57;6.60E-02;2379.6;6.60E-02;2590.02;6.60E-02;2940.39;6.60E-02;2373.5;6.60E-02;2924.12;6.60E-02;1641.88
6.90E-02;2525;6.90E-02;2379.61;6.90E-02;2203.87;6.90E-02;2236.83;6.90E-02;2483.39;6.90E-02;2691.14;6.90E-02;3089.73;6.90E-02;2465.25;6.90E-02;3078.26;6.90E-02;1712.85
7.20E-02;2645.67;7.20E-02;2471.92;7.20E-02;2291.1;7.20E-02;2326.13;7.20E-02;2578.91;7.20E-02;2797.14;7.20E-02;3243.97;7.20E-02;2561.18;7.20E-02;3235.93;7.20E-02;1783.99
7.50E-02;2768.86;7.50E-02;2567.98;7.50E-02;2379.5;7.50E-02;2417.03;7.50E-02;2677.06;7.50E-02;2903.69;7.50E-02;3396.1;7.50E-02;2657.52;7.50E-02;3398.73;7.50E-02;1858.11
7.80E-02;2893.16;7.80E-02;2664.04;7.80E-02;2470.6;7.80E-02;2510.63;7.80E-02;2778.19;7.80E-02;3014.21;7.80E-02;3523.2;7.80E-02;2756.94;7.80E-02;3562.72;7.80E-02;1933.11
8.10E-02;3019.29;8.10E-02;2764.85;8.10E-02;2564.22;8.10E-02;2605.14;8.10E-02;2880.89;8.10E-02;3126.35;8.10E-02;3650.3;8.10E-02;2857.57;8.10E-02;3731.15;8.10E-02;2010.97
8.40E-02;3147.22;8.40E-02;2865.97;8.40E-02;2659.33;8.40E-02;2703.65;8.40E-02;2987.62;8.40E-02;3241.24;8.40E-02;3781.72;8.40E-02;2961.06;8.40E-02;3899.11;8.40E-02;2090.89
8.70E-02;3276.72;8.70E-02;2971.7;8.70E-02;2757.56;8.70E-02;2802.16;8.70E-02;3094.84;8.70E-02;3358.66;8.70E-02;3913.72;8.70E-02;3067.12;8.70E-02;4035.67;8.70E-02;2172.4
9.00E-02;3409.67;9.00E-02;3079.01;9.00E-02;2856.5;9.00E-02;2906.19;9.00E-02;3207.13;9.00E-02;3477.87;9.00E-02;4048.39;9.00E-02;3175.04;9.00E-02;4172.24;9.00E-02;2256.42
